iter	Passed	Remaining
890	35274	4315
891	35311	4275
892	35368	4237
893	35435	4201
894	35481	4162
895	35534	4124
896	35582	4085
897	35634	4047
898	35699	4010
899	35749	3972
900	35789	3932
901	35919	3902
902	35969	3863
903	35994	3822
904	36028	3781
905	36049	3740
906	36085	3700
907	36120	3659
908	36150	3618
909	36189	3579
910	36239	3540
911	36277	3500
912	36309	3459
913	36339	3419
914	36395	3381
915	36463	3343
916	36508	3304
917	36540	3263
918	36575	3223
919	36616	3184
920	36645	3143
921	36724	3106
922	36796	3069
923	36841	3030
924	36884	2990
925	36925	2950
926	36970	2911
927	37026	2872
928	37068	2833
929	37134	2795
930	37184	2755
931	37231	2716
932	37287	2677
933	37359	2639
934	37424	2601
935	37494	2563
936	37549	2524
937	37592	2484
938	37645	2445
939	37700	2406
940	37770	2368
941	37823	2328
942	37877	2289
943	37919	2249
944	37964	2209
945	38017	2170
946	38068	2130
947	38154	2092
948	38201	2052
949	38248	2013
950	38301	1973
951	38352	1933
952	38418	1894
953	38464	1854
954	38515	1814
955	38565	1774
956	38602	1734
957	38639	1694
958	38684	1653
959	38730	1613
960	38781	1573
961	38817	1533
962	38867	1493
963	38910	1453
964	38966	1413
965	39018	1373
966	39058	1332
967	39091	1292
968	39139	1252
969	39195	1212
970	39288	1173
971	39436	1136
972	39483	1095
973	39542	1055
974	39619	1015
975	39659	975
976	39688	934
977	39742	894
978	39784	853
979	39817	812
980	39867	772
981	39914	731
982	39940	690
983	39968	649
984	39990	608
985	40013	568
986	40031	527
987	40053	486
988	40084	445
989	40132	405
990	40171	364
991	40199	324
992	40232	283
993	40270	243
994	40308	202
995	40350	162
996	40387	121
997	40452	81
998	40556	40
999	40629	0
